MEDCOD,MEFCOD,MEDNOM,MEDPRES,MEDCNC,MEDTIP,MEDPET,MEDFF,MEDEST,MEDESTVTA,MEDFACTPER,MEDTRANAC,MEDTRALOC,MEDCOMP,MEDPS,MEDCS,MEDHI,MEDACT,MEDINDVCTO,PRDPREADQ,PRDPREDIST,PRDPREOPE,PRDINDACT,PRDSTKMIN,PRDSTKMAX,PRDPTOREP,PRDSIT,PRDADI,PRDFECHULT,MEDREGSAN,PREADQ_DO,PREDIS_DO,PREOPE_DO,PRDTIPOMED,MEDNOMABR,MEDNARCOT,MNARCOT,TIPONC,FECULTPREC,CODIGO_SIG,FECHAVRS,PRDSTKPROM,_NullFlags
01869,,CISPLATINO,50 mL,1 mg/mL,M,P,INYECT,_,,,,,,_,_,_,1,S,25.647,28.853,30.0,,0,0,0,1,N,2018-08-31 15:04:43.999000,,0.0,0.0,0.0,X,,,,,2018-05-10,582600600004,,0,b'\x00'
01873,,CITARABINA (SIN PRESERVANTES),,100 mg,M,P,INYECT,_,,,,,,_,_,_,1,S,12.668,14.252,15.0,,0,0,0,1,N,2018-08-31 15:04:43.999000,,0.0,0.0,0.0,X,,,,,2018-05-10,582600610004,,0,b'\x00'
01876,,CITARABINA,,500 mg,M,P,INYECT,_,,,,,,_,_,_,1,S,13.89,15.626,17.0,,0,0,0,1,N,2018-08-31 15:04:43.999000,,0.0,0.0,0.0,X,,,,,2018-05-10,582600610001,,0,b'\x00'
01924,,CLARITROMICINA,50 mL,250 mg/5 mL,M,P,SUSPEN,_,,,,,,_,_,_,1,S,12.24,13.77,15.3,,0,0,0,1,N,2018-08-31 15:04:43.999000,,0.0,0.0,0.0,X,,,,,2018-05-10,581000040005,,0,b'\x00'
01925,,CLARITROMICINA,60 mL,250 mg/5 mL,M,P,SUSPEN,_,,,,,,_,_,_,1,S,9.797914,11.757497,12.0,,0,0,0,1,N,2018-08-31 15:04:43.999000,,0.0,0.0,0.0,X,,,,,2018-05-10,581000040009,,0,b'\x00'
01930,,CLARITROMICINA,,500 mg,M,P,TABLET,_,,,,,,_,_,_,1,S,0.452025,0.54243,0.56,,0,0,0,1,N,2018-08-31 15:04:43.999000,,0.0,0.0,0.0,X,,,,,2018-05-10,581000040001,,0,b'\x00'
01958,,CLINDAMICINA (COMO FOSFATO),4 mL,600 mg,M,P,INYECT,_,,,,,,_,_,_,1,S,1.06,1.19,1.32,,0,0,0,1,N,2018-08-31 15:04:43.999000,,1.0,1.0,1.0,X,,,,,2018-08-01,581000070003,,0,b'\x00'
01964,,CLINDAMICINA (COMO CLORHIDRATO),,300 mg,M,P,TABLET,_,,,,,,_,_,_,1,S,0.25,0.275,0.3,,0,0,0,1,N,2018-08-31 15:04:43.999000,,0.0,0.0,0.0,X,,,,,2018-05-10,581000070002,,0,b'\x00'
01966,,CLOBAZAM,,10 mg,M,P,TABLET,_,,,,,,_,_,_,1,S,0.0,0.0,0.0,,0,0,0,1,N,2018-08-31 15:04:43.999000,,0.0,0.0,0.0,X,,P,,,,584900010001,,0,b'\x00'
01972,,CLOBETASOL PROPIONATO,20 g,50 mg/100 g,M,P,CREMA,_,,,,,,_,_,_,1,S,1.298,1.46,1.62,,0,0,0,1,N,2018-08-31 15:04:43.999000,NG-1803,0.0,0.0,0.0,X,,,,,2018-05-10,583300230004,,0,b'\x00'
01973,,CLOBETASOL PROPIONATO,25 g,50 mg/100 g (0.05 %),M,P,CREMA,_,,,,,,_,_,_,1,S,1.235949,1.483139,1.5,,0,0,0,1,N,2018-08-31 15:04:43.999000,,0.0,0.0,0.0,X,,,,,2018-05-10,583300230002,,0,b'\x00'
01997,,CLOMIPRAMINA CLORHIDRATO,,25 mg,M,P,TABLET,_,,,,,,_,_,_,1,S,0.191,0.201,0.22,,0,0,0,1,N,2018-08-31 15:04:43.999000,,1.0,1.0,1.0,X,,P,,,2018-05-10,584900290002,,0,b'\x00'
02003,,CLONAZEPAM,,500 µg (0.5 mg),M,P,TABLET,_,,,,,,_,_,_,1,S,0.07,0.07,0.07,,0,0,0,1,N,2018-08-31 15:04:43.999000,,0.0,0.0,0.0,X,,P,,,2018-08-01,580500090002,,0,b'\x00'
02004,,CLONAZEPAM,,2 mg,M,P,TABLET,_,,,,,,_,_,_,1,S,0.06,0.06,0.06,,0,0,0,1,N,2018-08-31 15:04:43.999000,,0.0,0.0,0.0,X,,P,,,2018-08-01,580500090003,,0,b'\x00'
02031,,CLORANFENICOL (COMO SUCCINATO SODICO),,1 g,M,P,INYECT,_,,,,,,_,_,_,1,S,2.107665,2.318432,2.5,,0,0,0,1,N,2018-08-31 15:04:43.999000,,2.0,2.0,2.0,X,,,,,2018-05-10,581200010004,,0,b'\x00'
02044,,CLORANFENICOL PALMITATO,60 mL,125 mg/5 mL,M,_,SUSPEN,_,,,,,,_,_,_,1,S,1.817284,2.044444,2.3,,0,0,0,1,N,2018-08-31 15:04:43.999000,,1.817284,2.044444,2.3,X,,,,,2018-05-10,581200010005,,0,b'\x00'
02052,,CLORANFENICOL (COMO PALMITATO),60 mL,250 mg/5 mL,M,P,SUSPEN,_,,,,,,_,_,_,1,S,7.733874,8.507261,9.0,,0,0,0,1,N,2018-08-31 15:04:43.999000,,1.0,1.0,1.0,X,,,,,2018-05-10,581200010001,,0,b'\x00'
02054,,CLORANFENICOL,,250 mg,M,P,TABLET,S,,,,,,_,_,_,1,S,0.07901,0.08889,0.1,,0,0,0,1,N,2018-08-31 15:04:43.999000,,0.0,0.0,0.0,X,,,,,2018-05-10,581200010003,,0,b'\x00'
02055,,CLORANFENICOL,,500 mg,M,P,TABLET,_,,,,,,_,_,_,1,S,0.33,0.396,0.4,,0,0,0,1,N,2018-08-31 15:04:43.999000,,0.0,0.0,0.0,X,,,,,2018-05-10,581200010002,,0,b'\x00'
02128,,CLORFENAMINA MALEATO,1 mL,10 mg/mL,M,P,INYECT,_,,,,,,_,_,_,1,S,0.226877,0.249565,0.25,,0,0,0,1,N,2018-08-31 15:04:43.999000,,0.0,0.0,0.0,X,,,,,2018-05-10,580300180005,,0,b'\x00'
02132,,CLORFENAMINA MALEATO,120 mL,2 mg/5 mL,M,P,JARABE,_,,,,,,1,1,1,1,S,0.9702,1.16424,1.2,,0,0,0,1,N,2018-08-31 15:04:43.999000,,1.0,1.0,1.0,X,,,,,2018-05-10,580300180006,,0,b'\x00'
02144,,CLORFENAMINA MALEATO,60 mL,2 mg/5 mL,M,P,JARABE,_,,,,,,_,_,_,1,S,0.711111,0.8,0.9,,0,0,0,1,N,2018-08-31 15:04:43.999000,,0.711111,0.8,0.9,S,,,,,2018-05-10,580300180001,,0,b'\x00'
02149,,CLORFENAMINA MALEATO,,4 mg,M,P,TABLET,_,,,,,,1,1,1,1,S,0.032413,0.038896,0.04,,0,0,0,1,N,2018-08-31 15:04:43.999000,,0.0,0.0,0.0,X,,,,,2018-05-10,580300180004,,0,b'\x00'
02170,,CLORHEXIDINA,4 L,1.5 g/100 mL,M,_,SOLUCI,_,,,,,,_,_,_,1,,0.0,0.0,0.0,,0,0,0,1,N,2018-08-31 15:04:43.999000,,0.0,0.0,0.0,X,,,,,,583600220031,,0,b'\x00'
02186,,CLORHEXIDINA,100 mL,4 g/100 mL,M,P,SOLUCI,S,,,,,,_,_,_,1,S,0.0,0.0,0.0,,0,0,0,1,N,2018-08-31 15:04:43.999000,,0.0,0.0,0.0,X,,,,,,583600220012,,0,b'\x00'
02187,,CLORHEXIDINA GLUCONATO,1 L,4 g/100 mL (4 %),M,P,SOLUCI,_,,,,,,_,_,_,1,S,26.5,29.813,33.0,,0,0,0,1,N,2018-08-31 15:04:43.999000,,0.0,0.0,0.0,X,,,,,2018-05-10,583600220011,,0,b'\x00'
02202,,CLOROQUINA (Equivalente a 250 mg de CLOROQUINA FOSFATO),,150 mg,M,P,TABLET,E,1,,,,,_,_,_,1,S,0.042367,0.042367,0.04,,0,0,0,1,N,2018-08-31 15:04:43.999000,,0.0,0.0,0.0,X,,,,,2018-05-10,582100070003,,0,b'\x00'
02203,,MEFLOQUINA CLORHIDRATO,,250 mg,M,P,TABLET,E,,,,,,_,_,_,1,S,3.147758,3.147758,3.147758,,0,0,0,1,N,2018-08-31 15:04:43.999000,,0.84975,0.84975,0.84975,X,,,,,2018-05-10,582100080001,,0,b'\x00'
02205,,CLORPROMAZINA CLORHIDRATO,2 mL,25 mg,M,_,INYECT,_,,,,,,_,_,_,1,S,0.474074,0.533333,0.6,,0,0,0,1,N,2018-08-31 15:04:43.999000,,0.474074,0.533333,0.6,X,,,,,2018-05-10,584800650003,,0,b'\x00'
02208,,CLORPROMAZINA CLORHIDRATO,,100 mg,M,P,TABLET,_,,,,,,_,_,_,1,S,0.1,0.233333,0.25,,0,0,0,1,N,2018-08-31 15:04:43.999000,,0.0,0.0,0.0,X,,,,,2018-05-10,584800650001,,0,b'\x00'
02210,,CLORPROPAMIDA,,250 mg,M,_,TABLET,_,,,,,,_,_,_,1,S,0.0,0.0,0.0,,0,0,0,1,N,2018-08-31 15:04:43.999000,,0.0,0.0,0.0,X,,,,,,584000020001,,0,b'\x00'
02227,,CLORURO DE BENZALCONIO,1 L,100 mg/100 mL,M,_,SOLUCI,_,,,,,,_,_,_,1,S,0.0,0.0,0.0,,0,0,0,1,N,2018-08-31 15:04:43.999000,,0.0,0.0,0.0,X,,,,,,583600010003,,0,b'\x00'
02231,,CLORURO DE BENZALCONIO,30 mL,100 mg/100 mL,M,_,SOLUCI,_,,,,,,_,_,_,1,S,4.0,4.5,5.0,,0,0,0,1,N,2018-08-31 15:04:43.999000,,0.0,0.0,0.0,X,,,,,2018-05-10,583600010006,,0,b'\x00'
02269,,CLORURO DE SUXAMETONIO,10 mL,50 mg/mL,M,P,INYECT,_,,,,,,_,_,_,1,S,26.0,29.25,30.0,,0,0,0,1,N,2018-08-31 15:04:43.999000,N-5361-,0.0,0.0,0.0,X,,,,,2018-05-10,586300220001,,0,b'\x00'
02309,,CLOTRIMAZOL,20 mL,1 g/100 mL (1 %),M,P,SOLUCI,_,,,,,,_,_,_,1,S,1.219,1.371,1.5,,0,0,0,1,N,2018-08-31 15:04:43.999000,,1.0,1.0,1.0,X,,,,,2018-05-10,583301020009,,0,b'\x00'
02312,,CLOTRIMAZOL,40 g,1 g/100 g,M,P,CREMA,_,,,,,,_,_,_,1,S,19.85,22.331,24.81,,0,0,0,1,N,2018-08-31 15:04:43.999000,,0.0,0.0,0.0,X,,,,,2018-05-10,583301020001,,0,b'\x00'
02319,,CLOTRIMAZOL,20 g,1 g/100 g (1 %),M,P,CREMA,_,,,,,,_,_,_,1,S,0.804825,0.96579,1.0,,0,0,0,1,N,2018-08-31 15:04:43.999000,,1.0,1.0,1.0,X,,,,,2018-05-10,583301020002,,0,b'\x00'
02320,,CLOTRIMAZOL,30 g,1 g/100 g (1 %),M,P,CREMA,_,,,,,,_,_,_,1,S,1.218,1.37,1.52,,0,0,0,1,N,2018-08-31 15:04:43.999000,,0.0,0.0,0.0,X,,,,,2018-05-10,581800060008,,0,b'\x00'
02354,,CLOTRIMAZOL,,500 mg,M,P,OVULO,_,,,,,,_,_,_,1,S,0.286443,0.343732,0.35,,0,0,0,1,N,2018-08-31 15:04:43.999000,,0.0,0.0,0.0,X,,,,,2018-05-10,581800060003,,0,b'\x00'
02361,,CLOZAPINA,,100 mg,M,P,TABLET,_,,,,,,_,_,_,1,S,0.149,0.178,0.18,,0,0,0,1,N,2018-08-31 15:04:43.999000,,0.0,0.0,0.0,X,,P,,,2018-05-10,584800660002,,0,b'\x00'
02381,,CODEINA FOSFATO,2 mL,30 mg/mL,M,P,INYECT,_,,,,,,_,_,_,1,S,2.218,2.495,2.7,,0,0,0,1,N,2018-08-31 15:04:43.999000,,11.0,12.0,14.0,X,,E,,,2018-05-10,586900070012,,0,b'\x00'
02384,,CODEINA,120 mL,6 mg/5 mL,M,_,JARABE,_,,,,,,_,_,_,1,S,0.0,0.0,0.0,,0,0,0,1,N,2018-08-31 15:04:43.999000,,0.0,0.0,0.0,X,,E,,,,586900070005,,0,b'\x00'
02391,,COLCHICINA,,500 µg (0.5 mg),M,P,TABLET,_,,,,,,_,_,_,1,S,0.056,0.063,0.07,,0,0,0,1,N,2018-08-31 15:04:43.999000,,0.0,0.0,0.0,X,,,,,2018-05-10,580200420001,,0,b'\x00'
02405,,COMBINACIONES DE ELECTROLITOS,1 L,,M,_,INYECT,_,,,,,,_,_,_,1,S,0.0,0.0,0.0,,0,0,0,1,N,2018-08-31 15:04:43.999000,,0.0,0.0,0.0,X,,,,,,585100040006,,0,b'\x00'
02431,,SURFACTANTE PULMONAR,8 mL,,M,P,INYECT,_,,,,,,_,_,_,1,S,0.0,0.0,0.0,,0,0,0,1,N,2018-08-31 15:04:43.999000,,0.0,0.0,0.0,X,,,,,,585000010001,,0,b'\x00'
02432,,SOLUCIONES PARA NUTRICION PARENTERAL,1 L,,M,_,INYECT,_,,,,,,_,_,_,1,S,0.0,0.0,0.0,,0,0,0,1,N,2018-08-31 15:04:43.999000,,0.0,0.0,0.0,X,,,,,,587500050006,,0,b'\x00'
02433,,SOLUCIONES PARA NUTRICION PARENTERAL,2 L,,M,_,INYECT,_,,,,,,_,_,_,1,S,0.0,0.0,0.0,,0,0,0,1,N,2018-08-31 15:04:43.999000,,0.0,0.0,0.0,X,,,,,,587500050005,,0,b'\x00'
02436,,SOLUCIONES PARA NUTRICION PARENTERAL,500 mL,,M,_,INYECT,_,,,,,,_,_,_,1,S,0.0,0.0,0.0,,0,0,0,1,N,2018-08-31 15:04:43.999000,,0.0,0.0,0.0,X,,,,,,587500050002,,0,b'\x00'
02496,,VITAMINA B - COMPLEJO,,,M,_,TABLET,_,,,,,,_,_,_,1,S,0.048,0.054,0.06,,0,0,0,1,N,2018-08-31 15:04:43.999000,,0.0,0.0,0.0,X,,,,,2018-05-10,585701060011,,0,b'\x00'
02542,,DACARBAZINA,,200 mg,M,P,INYECT,_,,,,,,_,_,_,1,S,23.71,26.674,29.63,,0,0,0,1,N,2018-08-31 15:04:43.999000,,0.0,0.0,0.0,X,,,,,2018-05-10,582600630002,,0,b'\x00'
02545,,DACTINOMICINA,,500 µg (0.5 mg),M,P,INYECT,_,,,,,,_,_,_,1,S,27.687,90.0,32.0,,0,0,0,1,N,2018-08-31 15:04:43.999000,,0.0,0.0,0.0,X,,,,,2018-05-10,582600640001,,0,b'\x00'
02554,,DANAZOL,,200 mg,M,P,TABLET,_,,,,,,_,_,_,1,S,2.7,2.995,3.3,,0,0,0,1,N,2018-08-31 15:04:43.999000,,0.0,0.0,0.0,X,,,,,2018-05-10,583900080001,,0,b'\x00'
02555,,DAUNORUBICINA (COMO CLORHIDRATO),,20 mg,M,P,INYECT,_,,,,,,_,_,_,1,S,108.0,111.0,112.9,,0,0,0,1,N,2018-08-31 15:04:43.999000,,0.0,0.0,0.0,X,,,,,2018-05-10,582600650001,,0,b'\x00'
02585,,DESLANOSIDO,2 mL,200 ug/mL,M,_,INYECT,_,,,,,,_,_,_,1,S,3.239506,3.644444,4.1,,0,0,0,1,N,2018-08-31 15:04:43.999000,,3.239506,3.644444,4.1,X,,,,,2018-05-10,583000470001,,0,b'\x00'
02587,,DESMOPRESINA ACETATO,5 mL,10 µg/100 µL,M,P,AEROSO,_,,,,,,_,_,_,1,S,146.998,154.0,155.0,,0,0,0,1,N,2018-08-31 15:04:43.999000,,0.0,0.0,0.0,X,,,,,2018-05-10,587400010006,,0,b'\x00'
02621,,DEXAMETASONA + NEOMICINA + POLIMIXINA B (SOLUCION OFTALMICA),5 mL,1 mg + 3.5 mg + 10000 UI/mL,M,_,SOLUCI,_,,,,,,_,_,_,1,S,0.0,0.0,0.0,,0,0,0,1,N,2018-08-31 15:04:43.999000,,0.0,0.0,0.0,X,,,,,,585500180006,,0,b'\x00'
02641,,DEXAMETASONA FOSFATO (COMO SAL SODICA),1 mL,4 mg/mL,M,P,INYECT,S,,,,,,_,_,_,1,S,0.362,0.407,0.45,,0,0,0,1,N,2018-08-31 15:04:43.999000,,0.0,0.0,0.0,X,,,,,2018-05-10,587100030002,,0,b'\x00'
02642,,DEXAMETASONA FOSFATO (COMO SAL SODICA),2 mL,4 mg/2 mL,M,P,INYECT,_,,,,,,_,_,_,1,S,0.226887,0.249576,0.25,,0,0,0,1,N,2018-08-31 15:04:43.999000,,0.0,0.0,0.0,X,,,,,2018-05-10,587100030001,,0,b'\x00'
02653,,DEXAMETASONA,100 mL,2 mg/5 mL,M,P,ELIXIR,_,,,,,,_,_,_,1,S,4.332,4.874,5.41,,0,0,0,1,N,2018-08-31 15:04:43.999000,,0.0,0.0,0.0,X,,,,,2018-05-10,587100030007,,0,b'\x00'
02654,,DEXAMETASONA,,500 µg (0.5 mg),M,P,TABLET,_,,,,,,_,_,_,1,S,0.041587,0.049904,0.05,,0,0,0,1,N,2018-08-31 15:04:43.999000,,0.0,0.0,0.0,X,,,,,2018-05-10,587100030006,,0,b'\x00'
02657,,DEXAMETASONA,,4 mg,M,P,TABLET,_,,,,,,_,_,_,1,S,0.048515,0.058218,0.06,,0,0,0,1,N,2018-08-31 15:04:43.999000,,1.0,1.0,1.0,X,,,,,2018-05-10,587100030005,,0,b'\x00'
02667,,DEXRAZOXANO (COMO CLORHIDRATO),,500 mg,M,P,INYECT,_,,,,,,_,_,_,1,S,320.0,329.0,330.0,,0,0,0,1,N,2018-08-31 15:04:43.999000,,0.0,0.0,0.0,X,,,,,2018-05-10,580400220001,,0,b'\x00'
02724,,DEXTROMETORFANO BROMHIDRATO,120 mL,15 mg/5 mL,M,P,JARABE,_,,,,,,_,_,_,1,S,1.4125,1.589,1.75,,0,0,0,1,N,2018-08-31 15:04:43.999000,,1.0,1.0,1.0,X,,,,,2018-05-10,585000510002,,0,b'\x00'
02746,,GLUCOSA + SODIO CLORURO,1 L,5 g + 900 mg/100 mL (5 % + 0.9 %),M,P,INYECT,_,,,,,,_,_,_,1,S,3.95,4.345,4.5,,0,0,0,1,N,2018-08-31 15:04:43.999000,,0.0,0.0,0.0,X,,,,,2018-05-10,585100150001,,0,b'\x00'
02752,,DIAZEPAM,2 mL,5 mg/mL,M,P,INYECT,_,,,,,,_,_,1,1,S,0.448683,0.53842,0.55,,0,0,0,1,N,2018-08-31 15:04:43.999000,,0.0,0.0,0.0,X,,P,,,2018-05-10,584900280003,,0,b'\x00'
02754,,DIAZEPAM,,10 mg,M,P,TABLET,_,,,,,,_,_,_,1,S,0.0424,0.0467,0.05,,0,0,0,1,N,2018-08-31 15:04:43.999000,,0.0,0.0,0.0,X,,P,,,2018-05-10,584900280002,,0,b'\x00'
02755,,DIAZEPAM,,5 mg,M,P,TABLET,_,,,,,,_,_,_,1,S,0.036,0.041,0.05,,0,0,0,1,N,2018-08-31 15:04:43.999000,,0.0,0.0,0.0,S,,P,,,2018-05-10,584900280001,,0,b'\x00'
02765,,DICLOFENACO + PARACETAMOL,,50 mg + 500 mg,M,_,TABLET,_,,,,,,_,_,_,1,S,0.0,0.0,0.0,,0,0,0,1,N,2018-08-31 15:04:43.999000,,0.0,0.0,0.0,X,,,,,,585600010002,,0,b'\x00'
02788,,DICLOFENACO SODICO,3 mL,25 mg/mL,M,P,INYECT,_,,,,,,_,_,_,1,S,0.1312,0.1574,0.16,,0,0,0,1,N,2018-08-31 15:04:43.999000,,0.0,0.0,0.0,X,,,,,2018-05-10,580200470003,,0,b'\x00'
02794,,DICLOFENACO (SOLUCION OFTALMICA),5 mL,1 mg/mL,M,P,SOLUCI,_,,,,,,_,_,_,1,S,2.5939,2.85329,3.0,,0,0,0,1,N,2018-08-31 15:04:43.999000,,0.0,0.0,0.0,X,,,,,2018-05-10,584400680009,,0,b'\x00'
02813,,DICLOFENACO,,50 mg,M,_,TABLET,_,,,,,,_,_,_,1,S,0.06,0.068,0.08,,0,0,0,1,N,2018-08-31 15:04:43.999000,,0.0,0.0,0.0,X,,,,,2018-05-10,580200470004,,0,b'\x00'
02816,,DICLOXACILINA,,500 mg,M,_,INYECT,_,,,,,,_,_,_,1,S,0.0,0.0,0.0,,0,0,0,1,N,2018-08-31 15:04:43.999000,,0.0,0.0,0.0,X,,,,,,580700120001,,0,b'\x00'
02822,,DICLOXACILINA (COMO SAL SODICA),60 mL,125 mg/5 mL,M,_,SUSPEN,_,,,,,,_,_,_,1,S,1.738272,1.955556,2.2,,0,0,0,1,N,2018-08-31 15:04:43.999000,,1.738272,1.955556,2.2,S,,,,,2018-05-10,580700120004,,0,b'\x00'
02826,,DICLOXACILINA (COMO SAL SODICA),120 mL,250 mg/5 mL,M,P,SUSPEN,S,,,,,,_,_,_,1,S,4.757,5.29,5.3,,0,0,0,1,N,2018-08-31 15:04:43.999000,,5.0,5.0,6.0,X,,,,,2018-05-10,580700120008,,0,b'\x00'
02830,,DICLOXACILINA (COMO SAL SODICA),60 mL,250 mg/5 mL,M,P,SUSPEN,_,,,,,,_,_,_,1,S,2.5,2.75,3.0,,0,0,0,1,N,2018-08-31 15:04:43.999000,,2.0,2.0,3.0,X,,,,,2018-05-10,580700120009,,0,b'\x00'
02835,,DICLOXACILINA (COMO SAL SODICA),,250 mg,M,P,TABLET,_,,,,,,_,_,_,1,S,0.213,0.24,0.26,,0,0,0,1,N,2018-08-31 15:04:43.999000,,0.0,0.0,0.0,X,,,,,2018-05-10,580700120007,,0,b'\x00'
02836,,DICLOXACILINA (COMO SAL SODICA),,500 mg,M,P,TABLET,_,,,,,,_,_,_,1,S,0.21,0.23,0.26,,0,0,0,1,N,2018-08-31 15:04:43.999000,,0.0,0.0,0.0,X,,,,,2018-08-01,580700120005,,0,b'\x00'
02838,,DIDANOSINA,,200 mg,M,_,TABLET,_,2,,,,,_,_,_,1,S,1.225,1.378,1.53,,0,0,0,1,N,2018-08-31 15:04:43.999000,,1.0,1.0,2.0,X,,,,,2018-05-10,582400040002,,0,b'\x00'
02839,,DIDANOSINA,,25 mg,M,_,TABLET,_,,,,,,_,_,_,1,,0.0,0.0,0.0,,0,0,0,1,N,2018-08-31 15:04:43.999000,,0.0,0.0,0.0,X,,,,,,582400040010,,0,b'\x00'
02841,,DIDANOSINA,,400 mg,M,_,TABLET,E,2,,,,,_,_,_,1,S,2.05641,2.05641,2.05641,,0,0,0,1,N,2018-08-31 15:04:43.999000,,0.0,0.0,0.0,X,,,,,2018-05-10,582400040001,,0,b'\x00'
02848,,DIETILESTILBESTROL,,1 mg,M,P,TABLET,_,,,,,,_,_,_,1,S,2.4,2.5,2.7,,0,0,0,1,N,2018-08-31 15:04:43.999000,,0.0,0.0,0.0,X,,,,,2018-05-10,583900530001,,0,b'\x00'
02862,,DIGOXINA,,250 µg (0.25 mg),M,P,TABLET,_,,,,,,_,_,_,1,S,0.067,0.075,0.08,,0,0,0,1,N,2018-08-31 15:04:43.999000,,0.0,0.0,0.0,X,,,,,2018-05-10,583000480004,,0,b'\x00'
02881,,DILTIAZEM CLORHIDRATO,,60 mg,M,P,TABLET,_,,,,,,_,_,_,1,S,0.146,0.164,0.18,,0,0,0,1,N,2018-08-31 15:04:43.999000,,0.0,0.0,0.0,X,,,,,2018-05-10,583000110002,,0,b'\x00'
02884,,DIMENHIDRINATO,5 mL,50 mg,M,P,INYECT,_,,,,,,_,_,1,1,S,0.713073,0.770118,0.8,,0,0,0,1,N,2018-08-31 15:04:43.999000,,0.0,1.0,1.0,X,,,,,2018-05-10,583800750001,,0,b'\x00'
02889,,DIMENHIDRINATO,60 mL,15 mg/5 mL,M,_,JARABE,_,,,,,,_,_,_,1,S,0.0,0.0,0.0,,0,0,0,1,N,2018-08-31 15:04:43.999000,,0.0,0.0,0.0,X,,,,,,583800750002,,0,b'\x00'
02891,,DIMENHIDRINATO,,50 mg,M,P,TABLET,_,,,,,,_,_,_,1,S,0.04,0.0448,0.05,,0,0,0,1,N,2018-08-31 15:04:43.999000,,0.0,0.0,0.0,X,,,,,2018-05-10,583800750003,,0,b'\x00'
02922,,SIMETICONA,15 mL,80 mg/mL,M,P,SUSPEN,_,,,,,,_,_,_,1,S,1.283689,1.540427,1.6,,0,0,0,1,N,2018-08-31 15:04:43.999000,,0.0,0.0,0.0,X,,,,,2018-05-10,583800220045,,0,b'\x00'
02935,,DIMETICONA,15 mL,80 mg/mL,M,P,SUSPEN,_,,,,,,_,_,_,1,S,0.542,0.61,0.67,,0,0,0,1,N,2018-08-31 15:04:43.999000,NG-4840,0.0,0.0,0.0,X,,,,,2018-05-10,583800220034,,0,b'\x00'
02953,,DINITRATO DE ISOSORBIDA,,10 mg,M,P,TABLET,_,,,,,,_,_,_,1,S,0.358,0.403,0.44,,0,0,0,1,N,2018-08-31 15:04:43.999000,,1.0,1.0,1.0,X,,,,,2018-05-10,583000220007,,0,b'\x00'
02954,,DINITRATO DE ISOSORBIDA(SUB LINGUAL),,5 mg,M,P,TABLET,_,,,,,,_,_,_,1,S,0.3089,0.3398,0.35,,0,0,0,1,N,2018-08-31 15:04:43.999000,,1.0,1.0,1.0,X,,,,,2018-05-10,583000220005,,0,b'\x00'
02979,,DOBUTAMINA (COMO CLORHIDRATO),20 mL,250 mg/20 mL,M,P,INYECT,S,,,,,,_,_,_,1,S,2.934,3.301,3.6,,0,0,0,1,N,2018-08-31 15:04:43.999000,S/REGISTRO,0.0,0.0,0.0,X,,,,,2018-05-10,583000540001,,0,b'\x00'
02981,,DOCETAXEL,0.5 mL,20 mg/0.5 mL,M,P,INYECT,_,,,,,,_,_,_,1,S,22.011,24.976,27.0,,0,0,0,1,N,2018-08-31 15:04:43.999000,,0.0,0.0,0.0,X,,,,,2018-05-10,582600130001,,0,b'\x00'
02983,,DOCETAXEL,2 mL,80 mg/2 mL,M,P,INYECT,_,,,,,,_,_,_,1,S,36.56,41.13,42.0,,0,0,0,1,N,2018-08-31 15:04:43.999000,,0.0,0.0,0.0,X,,,,,2018-05-10,582600130002,,0,b'\x00'
03010,,DOPAMINA CLORHIDRATO,5 mL,40 mg/mL,M,P,INYECT,S,,,,,,_,_,_,1,S,1.032,1.161,1.2,,0,0,0,1,N,2018-08-31 15:04:43.999000,,1.0,1.0,1.0,X,,,,,2018-05-10,583000490001,,0,b'\x00'
03013,,DORZOLAMIDA (SOLUCION OFTALMICA),5 mL,20 mg/mL,M,P,SOLUCI,_,,,,,,_,_,_,1,S,0.0,0.0,0.0,,0,0,0,1,N,2018-08-31 15:04:43.999000,,0.0,0.0,0.0,X,,,,,,583400020001,,0,b'\x00'
03018,,DOXICICLINA,,100 mg,M,P,TABLET,_,,,,,,_,_,_,1,S,0.075631,0.083194,0.09,,0,0,0,1,N,2018-08-31 15:04:43.999000,,0.0,0.0,0.0,X,,,,,2018-05-10,581100050001,,0,b'\x00'
03023,,DOXORUBICINA,5 mL,10 mg,M,P,INYECT,_,,,,,,_,_,_,1,S,8.447,9.503,9.6,,0,0,0,1,N,2018-08-31 15:04:43.999000,,0.0,0.0,0.0,X,,,,,2018-05-10,582600790005,,0,b'\x00'
03053,,EFAVIRENZ,,200 mg,M,P,TABLET,E,,,,,,_,_,_,1,S,0.41,0.41,0.41,,0,0,0,1,N,2018-08-31 15:04:43.999000,S/REGISTRO,1.0,1.0,1.0,X,,,,,2018-05-10,582400050002,,0,b'\x00'
03078,,ENALAPRIL MALEATO,,10 mg,M,P,TABLET,_,,,,,,_,_,_,1,S,0.032439,0.038927,0.04,,0,0,0,1,N,2018-08-31 15:04:43.999000,,0.0,0.0,0.0,X,,,,,2018-05-10,583100330004,,0,b'\x00'
03080,,ENALAPRIL MALEATO,,20 mg,M,P,TABLET,_,,,,,,_,_,_,1,S,0.07,0.07,0.07,,0,0,0,1,N,2018-08-31 15:04:43.999000,,0.0,0.0,0.0,X,,,,,2018-08-01,583100330002,,0,b'\x00'
